,site,crit,browser,i,lt,fp,fcp,e
0_0_0,cam,1,chrome,0,1656,927.1,927.1,6.1092512785
0_0_1,cam,1,chrome,1,1793,1113.1,1113.1,6.712280608
0_0_2,cam,1,chrome,2,1605,1179.3,1179.3,6.058862383999999
0_0_3,cam,1,chrome,3,1667,1172.7,1172.7,7.928734932999999
0_0_4,cam,1,chrome,4,1677,921.1,921.1,10.0570869385
0_0_5,cam,1,chrome,5,1722,1032.9,1032.9,8.759456349499999
0_0_6,cam,1,chrome,6,1751,1063.6,1063.6,8.8784847615
0_0_7,cam,1,chrome,7,1713,971.5,971.5,10.0079537135
0_0_8,cam,1,chrome,8,1694,946.9,946.9,8.390192147000002
0_0_9,cam,1,chrome,9,1543,1083.3,1083.3,10.642877856499998
0_1_0,cam,1,firefox,0,1863,1213.2,770,9.8461317665
0_1_1,cam,1,firefox,1,1945,927.1,782,15.302852316
0_1_2,cam,1,firefox,2,1966,1637.7,777,16.411100427999997
0_1_3,cam,1,firefox,3,2012,730.6,757,13.792783126500002
0_1_4,cam,1,firefox,4,1900,1402.2,846,18.027559468000003
0_1_5,cam,1,firefox,5,1883,759.1,782,20.68832841
0_1_6,cam,1,firefox,6,1921,1313.8,917,26.0128667865
0_1_7,cam,1,firefox,7,1933,971.5,797,10.158744058499998
0_1_8,cam,1,firefox,8,1939,1545.5,801,12.558861521
0_1_9,cam,1,firefox,9,1910,1387.2,801,20.79366894
1_0_0,,,,,,,,9.86394382
1_0_1,,,,,,,,17.053503436
1_0_2,,,,,,,,19.0283525875
1_0_3,,,,,,,,7.6681334825
1_0_4,,,,,,,,10.676504056
1_0_5,,,,,,,,12.5900400585
1_0_6,,,,,,,,15.3550208885
1_0_7,,,,,,,,12.871301722500002
1_0_8,,,,,,,,9.8999444165
1_0_9,,,,,,,,9.659741208500002
1_1_0,lazada,0,firefox,0,1238,1123.3,813,14.913220780499998
1_1_1,lazada,0,firefox,1,1132,875.5,674,13.358171252
1_1_2,lazada,0,firefox,2,1133,762.3,743,18.811445928
1_1_3,lazada,0,firefox,3,1116,1192.2,670,16.445798544
1_1_4,lazada,0,firefox,4,1177,1012,733,13.999599525
1_1_5,lazada,0,firefox,5,1225,364.2,781,14.292597601
1_1_6,lazada,0,firefox,6,1173,375.4,765,19.409040085500003
1_1_7,lazada,0,firefox,7,1059,971.5,585,18.1441076905
1_1_8,lazada,0,firefox,8,1250,1400,774,13.0937127645
1_1_9,lazada,0,firefox,9,1150,1387.2,668,14.801580468
2_0_0,unicef,1,chrome,0,1475,1123.3,1123.3,15.451317707499998
2_0_1,unicef,1,chrome,1,1409,1213.2,1213.2,8.01382955
2_0_2,unicef,1,chrome,2,1419,1186.4,1186.4,6.83176404
2_0_3,unicef,1,chrome,3,1426,1238.6,1238.6,13.085976832999998
2_0_4,unicef,1,chrome,4,1413,1218.7,1218.7,10.428772213000002
2_0_5,unicef,1,chrome,5,1432,1210,1210,6.975948505499998
2_0_6,unicef,1,chrome,6,1387,1206.8,1206.8,12.4615442485
2_0_7,unicef,1,chrome,7,1374,1145.7,1145.7,10.305200544000002
2_0_8,unicef,1,chrome,8,1386,1188.8,1188.8,15.1860744895
2_0_9,unicef,1,chrome,9,1318,1121.3,1121.3,10.563816881
2_1_0,unicef,1,firefox,0,2448,1376.1,928,18.3628372345
2_1_1,unicef,1,firefox,1,3066,927.1,983,15.1370438615
2_1_2,unicef,1,firefox,2,2403,1416.2,995,23.524858363
2_1_3,unicef,1,firefox,3,2339,1416.2,976,20.254134233
2_1_4,unicef,1,firefox,4,2763,1711.7,986,15.265792133500002
2_1_5,unicef,1,firefox,5,2671,1557.2,960,21.8298111125
2_1_6,unicef,1,firefox,6,2431,1081.5,1047,16.630802120499997
2_1_7,unicef,1,firefox,7,2415,1402.2,984,15.881190652
2_1_8,unicef,1,firefox,8,3176,1238.4,952,21.1329325165
2_1_9,unicef,1,firefox,9,3211,1400,1052,15.7175590305
3_0_0,,,,,,,,13.3460569045
3_0_1,,,,,,,,11.975881662999996
3_0_2,,,,,,,,10.370986382
3_0_3,,,,,,,,9.1774750485
3_0_4,,,,,,,,10.096280962
3_0_5,,,,,,,,12.5071240215
3_0_6,,,,,,,,14.7798994575
3_0_7,,,,,,,,11.533744059499998
3_0_8,,,,,,,,15.842578528999995
3_0_9,,,,,,,,14.9208682815
3_1_0,,,,,,,,18.9571987455
3_1_1,,,,,,,,25.06509721
3_1_2,,,,,,,,24.16611184
3_1_3,,,,,,,,22.068825278
3_1_4,,,,,,,,15.781374540000002
3_1_5,,,,,,,,24.3219457435
3_1_6,,,,,,,,20.6571942935
3_1_7,,,,,,,,25.5699748645
3_1_8,,,,,,,,28.313341367
3_1_9,,,,,,,,35.999822995500004
4_0_0,cam,0,chrome,0,1734,1344.9,1344.9,3.7805808675
4_0_1,cam,0,chrome,1,1622,1162.5,1162.5,6.814148447000002
